PLAYER_NAME,SHOT_MADE_FLAG,LOC_X,LOC_Y,high_pres
Eric Gordon,1,-114.0,120.0,0
Leandro Barbosa,0,-199.0,169.0,0
Klay Thompson,1,66.0,116.0,0
Draymond Green,0,189.0,188.0,0
Stephen Curry,1,10.0,11.0,0
Ish Smith,1,28.0,26.0,0
Eric Gordon,0,-16.0,7.0,0
Anthony Davis,0,94.0,101.0,0
Stephen Curry,1,-7.0,13.0,0
Stephen Curry,0,42.0,61.0,0
Ryan Anderson,1,-205.0,200.0,0
Anthony Davis,0,-52.0,38.0,0
Festus Ezeli,1,0.0,1.0,0
Ish Smith,1,0.0,2.0,0
Stephen Curry,0,161.0,203.0,0
Stephen Curry,0,20.0,23.0,0
Alonzo Gee,1,0.0,1.0,0
Leandro Barbosa,0,-169.0,28.0,0
Festus Ezeli,0,-12.0,18.0,0
Harrison Barnes,0,-7.0,242.0,0
Festus Ezeli,1,10.0,13.0,0
Ryan Anderson,1,104.0,105.0,0
Shaun Livingston,1,-70.0,126.0,0
Andre Iguodala,1,0.0,1.0,0
Alexis Ajinca,1,-27.0,169.0,0
Marreese Speights,0,-109.0,154.0,0
Leandro Barbosa,0,79.0,237.0,0
Anthony Davis,0,119.0,47.0,0
Alexis Ajinca,0,-16.0,28.0,0
Marreese Speights,0,1.0,9.0,0
Draymond Green,0,0.0,36.0,0
Draymond Green,0,-4.0,13.0,0
Draymond Green,0,9.0,16.0,0
Anthony Davis,1,-19.0,159.0,0
Anthony Davis,1,-30.0,160.0,0
Shaun Livingston,0,101.0,72.0,0
Alexis Ajinca,0,17.0,26.0,0
Stephen Curry,0,-122.0,43.0,0
Festus Ezeli,1,0.0,1.0,0
Alonzo Gee,1,-11.0,11.0,0
Harrison Barnes,0,-227.0,18.0,0
Klay Thompson,0,9.0,111.0,0
Ryan Anderson,0,-50.0,75.0,0
Festus Ezeli,1,0.0,1.0,0
Kendrick Perkins,1,35.0,31.0,0
Stephen Curry,0,6.0,7.0,0
Alonzo Gee,1,0.0,1.0,0
Shaun Livingston,1,-114.0,105.0,0
Alexis Ajinca,0,-68.0,43.0,0
Alexis Ajinca,1,-32.0,72.0,0
Marreese Speights,1,114.0,228.0,0
Evan Fournier,0,-58.0,178.0,0
Bradley Beal,0,-191.0,-6.0,0
Kris Humphries,0,-3.0,5.0,0
John Wall,1,12.0,165.0,0
Evan Fournier,1,-16.0,3.0,0
Marcin Gortat,1,-12.0,-5.0,0
Nikola Vucevic,1,-129.0,131.0,0
John Wall,1,156.0,16.0,0
Elfrid Payton,0,-228.0,-19.0,0
Victor Oladipo,1,17.0,2.0,0
Bradley Beal,0,-204.0,16.0,0
Otto Porter Jr.,0,1.0,8.0,0
Nikola Vucevic,1,-47.0,67.0,0
Bradley Beal,1,-5.0,4.0,0
Mario Hezonja,0,4.0,178.0,0
Mario Hezonja,1,-65.0,-6.0,0
Bradley Beal,1,2.0,65.0,0
Drew Gooden,0,101.0,219.0,0
Mario Hezonja,1,-225.0,23.0,0
Aaron Gordon,0,-19.0,156.0,0
Aaron Gordon,0,30.0,247.0,0
Bradley Beal,0,233.0,26.0,0
C.J. Watson,1,-84.0,156.0,0
Elfrid Payton,0,15.0,11.0,0
Dewayne Dedmon,0,127.0,75.0,0
Elfrid Payton,1,-14.0,-6.0,0
Tobias Harris,1,-70.0,16.0,0
Ramon Sessions,0,-11.0,-6.0,0
Nene,0,202.0,18.0,0
Elfrid Payton,1,50.0,183.0,0
Victor Oladipo,0,12.0,-1.0,0
Dewayne Dedmon,0,0.0,1.0,0
Victor Oladipo,1,4.0,-5.0,0
Victor Oladipo,0,236.0,16.0,0
John Wall,0,22.0,-1.0,0
Victor Oladipo,1,-17.0,2.0,0
Jason Smith,0,171.0,110.0,0
Marcin Gortat,1,24.0,23.0,0
Marcin Gortat,1,0.0,8.0,0
Victor Oladipo,0,-30.0,-6.0,0
Kris Humphries,1,-2.0,0.0,0
Victor Oladipo,0,-1.0,252.0,0
Nikola Vucevic,0,-133.0,159.0,0
Aaron Gordon,0,-22.0,2.0,0
Kris Humphries,1,-70.0,193.0,0
Elfrid Payton,1,17.0,203.0,0
Kris Humphries,1,232.0,7.0,0
Victor Oladipo,0,146.0,198.0,0
Victor Oladipo,0,9.0,2.0,0
Elfrid Payton,0,2.0,-10.0,0
Tobias Harris,1,-27.0,0.0,0
Nikola Vucevic,0,38.0,175.0,0
Otto Porter Jr.,0,230.0,11.0,0
Evan Fournier,0,-235.0,16.0,0
Marcin Gortat,1,43.0,100.0,0
Victor Oladipo,0,-78.0,151.0,0
Kris Humphries,1,0.0,1.0,0
Tobias Harris,0,-79.0,160.0,0
Kris Humphries,0,-50.0,218.0,0
Elfrid Payton,0,13.0,9.0,0
Tobias Harris,1,-1.0,10.0,0
Tobias Harris,1,-60.0,164.0,0
Otto Porter Jr.,0,81.0,51.0,0
Bradley Beal,1,24.0,2.0,0
Nikola Vucevic,1,-22.0,36.0,0
Otto Porter Jr.,1,-88.0,46.0,0
C.J. Watson,0,22.0,16.0,0
Marcin Gortat,0,20.0,-1.0,0
Tobias Harris,0,-171.0,169.0,0
Tobias Harris,0,-29.0,-1.0,0
Nene,0,9.0,7.0,0
Nene,0,-9.0,190.0,0
Victor Oladipo,1,1.0,21.0,0
Tobias Harris,0,-210.0,115.0,0
Evan Fournier,0,235.0,11.0,0
Nene,0,-7.0,65.0,0
Drew Gooden,0,-138.0,224.0,0
Evan Fournier,0,-184.0,160.0,0
Aaron Gordon,1,15.0,-11.0,0
John Wall,0,-156.0,193.0,0
Kris Humphries,0,4.0,36.0,0
Elfrid Payton,0,-17.0,61.0,0
Otto Porter Jr.,0,-27.0,65.0,0
Victor Oladipo,1,-2.0,-10.0,0
Mario Hezonja,0,209.0,3.0,0
Bradley Beal,1,174.0,180.0,0
John Wall,1,-1.0,-10.0,0
John Wall,1,114.0,62.0,0
Victor Oladipo,0,10.0,8.0,0
Mario Hezonja,0,-171.0,188.0,0
John Wall,0,89.0,149.0,0
Elfrid Payton,0,-135.0,52.0,0
Bradley Beal,1,-20.0,-6.0,0
Victor Oladipo,0,-6.0,3.0,0
Bradley Beal,0,-127.0,208.0,0
Tobias Harris,1,-2.0,-6.0,0
Tobias Harris,0,-25.0,31.0,0
Otto Porter Jr.,1,-22.0,8.0,0
Otto Porter Jr.,0,-235.0,46.0,0
Elfrid Payton,0,-11.0,126.0,0
John Wall,1,-1.0,46.0,0
Tobias Harris,0,22.0,0.0,0
Hollis Thompson,0,-60.0,31.0,0
